193,Patrick Williams,CHI,6,28.2,7.2,2.5,8.7,28.8,1.3,4.3,30.8,0.8,1.2,71.4,1.3,4.5,5.8,1.8,1.0,0.5,1.7,8.2
194,Jonathan Mogbo,TOR,7,17.1,7.1,2.3,4.7,48.5,0.1,0.7,20.0,2.4,3.1,77.3,2.4,2.0,4.4,1.9,1.3,0.9,1.1,11.3
194,Sam Merrill,CLE,7,19.6,7.1,2.3,5.4,42.1,2.0,5.0,40.0,0.6,0.6,100,0.1,1.0,1.1,1.6,0.7,0.1,0.1,7.4
196,Andrew Nembhard,IND,5,25.2,7.0,2.8,7.0,40.0,0.2,1.8,11.1,1.2,1.6,75.0,0.0,1.8,1.8,5.0,1.0,0.0,1.8,8.4
196,Isaiah Jackson,IND,5,16.8,7.0,2.8,4.6,60.9,0.0,0.0,0.0,1.4,2.8,50.0,2.2,3.4,5.6,1.0,0.6,1.6,1.0,11.6
196,Jose Alvarado,NOP,7,22.7,7.0,2.6,7.1,36.0,1.3,4.1,31.0,0.6,0.6,100,0.6,1.7,2.3,4.7,1.4,0.4,1.1,10.1
199,Dean Wade,CLE,7,23.9,6.9,2.4,5.9,41.5,1.6,4.7,33.3,0.4,1.1,37.5,0.6,3.9,4.4,1.9,1.3,0.0,0.3,10.0
200,Jamison Battle,TOR,6,15.3,6.7,2.2,4.7,46.4,1.3,3.5,38.1,1.0,1.3,75.0,1.2,2.0,3.2,0.8,0.0,0.3,0.0,8.2
200,Lindy Waters III,GSW,6,15.0,6.7,2.5,4.7,53.6,1.3,3.2,42.1,0.3,0.3,100,0.5,1.5,2.0,1.8,0.5,0.2,0.0,9.0
202,Amir Coffey,LAC,6,21.2,6.5,2.3,4.3,53.8,0.8,1.8,45.5,1.0,1.5,66.7,0.3,1.3,1.7,0.7,0.7,0.0,0.7,6.3
202,Cam Whitmore,HOU,6,11.2,6.5,2.7,6.8,39.0,0.2,2.7,6.3,1.0,1.7,60.0,0.7,1.0,1.7,0.3,0.0,0.2,0.5,3.3
204,Jamal Shead,TOR,7,18.6,6.4,2.4,6.6,37.0,0.6,2.3,25.0,1.0,1.1,87.5,0.1,0.9,1.0,5.0,0.4,0.1,2.0,6.7
