216,Davion Mitchell,SAC,72,15.3,5.3,2.0,4.5,45.2,0.8,2.2,36.1,0.4,0.6,71.4,0.3,1.1,1.3,1.9,0.2,0.0,0.6,5.5,80,18.1,5.6,2.3,5.0,45.4,0.8,2.5,32.0,0.3,0.4,80.6,0.2,1.1,1.3,2.3,0.6,0.2,0.8,6.4,75,27.7,11.5,4.7,11.2,41.8,1.3,4.3,31.6,0.7,1.1,65.9,0.4,1.8,2.2,4.2,0.7,0.3,1.5,10.5
8,De'Aaron Fox,SAC,74,35.9,26.6,9.7,20.9,46.5,2.9,7.8,36.9,4.2,5.7,73.8,0.9,3.7,4.6,5.6,2.0,0.4,2.6,23.9,73,33.4,25.0,9.3,18.2,51.2,1.6,5.0,32.4,4.7,6.0,78.0,0.5,3.6,4.2,6.1,1.1,0.3,2.5,24.1,59,35.3,23.2,8.7,18.5,47.3,1.3,4.2,29.7,4.4,5.9,75.0,0.4,3.5,3.9,5.6,1.2,0.4,2.8,20.2
17,DeMar DeRozan,CHI,79,37.8,24.0,8.2,17.2,48.0,0.9,2.8,33.3,6.6,7.7,85.3,0.5,3.8,4.3,5.3,1.1,0.6,1.7,23.6,74,36.2,24.5,8.9,17.6,50.4,0.6,1.9,32.4,6.2,7.1,87.2,0.5,4.2,4.6,5.1,1.1,0.5,2.1,24.2,76,36.1,27.9,10.2,20.2,50.4,0.7,1.9,35.2,6.8,7.8,87.7,0.7,4.4,5.2,4.9,0.9,0.3,2.4,25.8
25,Dejounte Murray,ATL,78,35.7,22.5,8.6,18.8,45.9,2.6,7.1,36.3,2.7,3.4,79.4,0.8,4.5,5.3,6.4,1.4,0.3,2.6,22.6,74,36.4,20.5,8.3,17.8,46.4,1.8,5.2,34.4,2.1,2.6,83.2,0.7,4.5,5.3,6.1,1.5,0.3,2.2,21.4,68,34.8,21.1,8.4,18.3,46.2,1.4,4.3,32.7,2.9,3.6,79.4,1.2,7.1,8.3,9.2,2.0,0.3,2.6,27.8
74,Deni Avdija,WAS,75,30.1,14.7,5.4,10.7,50.6,1.2,3.1,37.4,2.7,3.6,74.0,1.1,6.1,7.2,3.8,0.8,0.5,2.1,18.6,76,26.6,9.2,3.3,7.6,43.7,0.9,3.1,29.7,1.6,2.2,73.9,1.0,5.4,6.4,2.8,0.9,0.4,1.6,13.1,82,24.2,8.4,3.0,7.1,43.2,1.0,3.2,31.7,1.3,1.7,75.7,0.6,4.5,5.2,2.0,0.7,0.5,1.1,11.4
77,Dennis Schröder,BKN,80,31.1,14.0,5.0,11.6,43.5,1.7,4.6,37.5,2.2,2.7,83.6,0.5,2.5,3.0,6.1,0.8,0.2,1.9,15.3,67,29.6,12.4,4.0,9.7,41.5,1.1,3.4,32.9,3.2,3.8,85.7,0.3,2.1,2.5,4.4,0.7,0.1,1.7,12.3,64,28.7,13.5,4.9,11.3,43.1,1.3,3.9,34.4,2.5,2.9,85.3,0.5,2.8,3.3,4.6,0.8,0.1,2.2,13.4
72,Derrick White,BOS,73,32.6,15.2,5.3,11.5,46.1,2.7,6.8,39.6,1.9,2.1,90.1,0.7,3.5,4.2,5.2,1.0,1.2,1.5,18.8,82,28.3,12.4,4.3,9.2,46.2,1.8,4.8,38.1,2.0,2.3,87.5,0.6,2.9,3.6,3.9,0.7,0.9,1.2,15.0,75,29.3,13.2,4.5,10.7,42.1,1.5,4.9,31.2,2.7,3.1,86.4,0.5,3.0,3.5,4.9,0.9,0.8,1.6,15.0
45,Domantas Sabonis,SAC,82,35.7,19.4,7.7,13.0,59.4,0.4,1.1,37.9,3.6,5.1,70.4,3.6,10.1,13.7,8.2,0.9,0.6,3.3,32.7,79,34.6,19.1,7.3,11.9,61.5,0.4,1.1,37.3,4.1,5.5,74.2,3.2,9.1,12.3,7.3,0.8,0.5,2.9,31.1,62,34.5,18.9,7.1,12.5,57.3,0.6,2.0,31.2,4.0,5.4,74.1,3.2,8.9,12.1,5.2,1.0,0.4,3.1,27.8
161,Dorian Finney-Smith,BKN,68,28.5,8.5,3.2,7.5,42.1,1.7,4.9,34.8,0.5,0.7,71.7,1.6,3.1,4.7,1.6,0.8,0.6,0.9,10.7,66,30.4,8.3,3.0,7.6,39.1,1.7,5.1,33.7,0.7,0.9,76.3,1.7,3.1,4.8,1.5,0.8,0.5,0.9,10.3,80,33.1,11.0,4.1,8.7,47.1,2.2,5.4,39.5,0.7,1.0,67.5,1.5,3.2,4.7,1.9,1.1,0.5,1.0,13.2
218,Drew Eubanks,PHX,75,15.6,5.1,2.0,3.4,60.1,0.0,0.0,100,1.0,1.2,77.4,1.4,2.9,4.3,0.8,0.4,0.8,0.8,8.9,78,20.3,6.6,2.7,4.3,64.1,0.1,0.2,38.9,1.1,1.6,66.4,1.7,3.7,5.4,1.3,0.5,1.3,0.9,12.2,71,17.5,7.7,3.1,5.2,59.6,0.1,0.3,21.7,1.4,1.8,76.2,1.8,3.5,5.4,1.2,0.4,0.6,1.1,11.6
