GP_2-3,MIN_2-3,PTS_2-3,FGM_2-3,FGA_2-3,FG%_2-3,3PM_2-3,3PA_2-3,3P%_2-3,FTM_2-3,FTA_2-3,FT%_2-3,OREB_2-3,DREB_2-3,REB_2-3,AST_2-3,STL_2-3,BLK_2-3,TOV_2-3,EFF_2-3,GP_1-2,MIN_1-2,PTS_1-2,FGM_1-2,FGA_1-2,FG%_1-2,3PM_1-2,3PA_1-2,3P%_1-2,FTM_1-2,FTA_1-2,FT%_1-2,OREB_1-2,DREB_1-2,REB_1-2,AST_1-2,STL_1-2,BLK_1-2,TOV_1-2,EFF_1-2,GP_0-1,MIN_0-1,PTS_0-1,FGM_0-1,FGA_0-1,FG%_0-1,3PM_0-1,3PA_0-1,3P%_0-1,FTM_0-1,FTA_0-1,FT%_0-1,OREB_0-1,DREB_0-1,REB_0-1,AST_0-1,STL_0-1,BLK_0-1,TOV_0-1,EFF_0-1
10,11.8,4.9,1.5,4.2,35.7,0.6,2.1,28.6,1.3,1.9,68.4,0.4,2.2,2.6,2.1,0.8,0.1,1.4,5.8,81,22.4,11.6,4.1,9.4,43.5,1.1,3.4,33.8,2.2,2.7,82.6,0.8,3.0,3.8,2.9,0.8,0.5,1.6,12.2,60,25.9,13.0,4.6,10.2,45.4,1.3,3.4,36.4,2.5,2.8,89.4,0.8,4.0,4.8,3.9,0.6,0.5,1.5,15.5
9,29.8,9.9,3.6,9.7,36.8,1.4,5.8,25.0,1.3,1.7,80.0,0.1,2.8,2.9,1.6,0.7,0.1,1.1,7.6,80,25.8,13.4,4.8,9.9,48.6,2.3,6.0,38.3,1.4,2.0,72.6,0.4,2.4,2.8,2.0,0.5,0.2,1.2,12.0,74,28.3,11.1,3.9,7.9,49.7,2.2,5.2,42.4,1.0,1.2,85.2,0.4,2.4,2.8,1.2,0.4,0.1,0.7,10.7
10,29.3,12.9,4.6,11.3,40.7,1.9,6.1,31.1,1.8,2.0,90.0,0.4,1.8,2.2,5.0,0.9,0.1,1.6,12.6,76,32.7,18.0,6.5,14.2,45.6,3.0,7.2,41.5,2.1,2.5,82.8,0.4,2.7,3.1,6.3,0.9,0.5,2.1,18.6,71,32.5,17.8,6.3,13.4,46.9,2.7,6.9,39.6,2.5,3.0,82.9,0.5,2.5,3.0,6.2,1.0,0.4,2.6,18.1
10,35.8,26.0,7.9,17.8,44.4,3.2,9.2,34.8,7.0,7.7,90.9,0.8,3.8,4.6,6.6,1.0,0.2,2.7,25.1,73,35.3,24.3,7.4,17.5,42.4,3.0,8.5,35.4,6.5,7.0,92.0,0.5,3.9,4.4,7.0,1.0,0.2,2.6,23.6,58,36.3,32.2,9.6,20.7,46.3,4.2,11.3,37.1,8.8,9.6,91.4,0.8,4.0,4.8,7.3,0.9,0.3,3.3,30.2
10,20.9,11.9,5.1,7.2,70.8,0.0,0.0,0.0,1.7,2.3,73.9,2.5,3.6,6.1,1.2,0.5,1.2,0.8,17.4,74,24.5,11.0,4.7,6.5,72.5,0.0,0.0,0.0,1.6,2.4,67.4,2.6,5.0,7.6,1.6,0.9,2.1,1.0,19.5,78,20.6,9.0,3.7,5.1,73.2,0.0,0.0,0.0,1.6,2.4,67.9,2.1,3.5,5.6,1.1,0.4,1.3,1.1,14.1
10,18.8,6.8,2.4,4.3,55.8,0.9,2.1,42.9,1.1,1.3,84.6,0.4,3.5,3.9,1.9,0.6,0.2,1.2,10.1,65,18.1,6.5,2.5,6.3,40.3,0.7,2.5,29.3,0.7,1.0,69.1,0.8,2.4,3.2,1.2,0.4,0.2,0.9,6.6,70,18.0,6.7,2.6,6.0,42.9,0.9,3.0,30.7,0.6,0.9,63.1,0.7,2.0,2.8,0.8,0.4,0.3,0.8,6.4
11,28.0,9.0,3.5,8.4,42.4,1.1,4.1,26.7,0.8,1.2,69.2,0.6,1.9,2.5,6.0,0.9,0.4,2.2,11.5,72,15.3,5.3,2.0,4.5,45.2,0.8,2.2,36.1,0.4,0.6,71.4,0.3,1.1,1.3,1.9,0.2,0.0,0.6,5.5,80,18.1,5.6,2.3,5.0,45.4,0.8,2.5,32.0,0.3,0.4,80.6,0.2,1.1,1.3,2.3,0.6,0.2,0.8,6.4
11,37.3,24.2,8.9,18.8,47.3,1.8,6.5,28.2,4.5,5.2,87.7,1.0,4.3,5.3,4.7,1.6,0.0,3.5,21.8,74,35.9,26.6,9.7,20.9,46.5,2.9,7.8,36.9,4.2,5.7,73.8,0.9,3.7,4.6,5.6,2.0,0.4,2.6,23.9,73,33.4,25.0,9.3,18.2,51.2,1.6,5.0,32.4,4.7,6.0,78.0,0.5,3.6,4.2,6.1,1.1,0.3,2.5,24.1
11,38.2,24.8,9.2,17.5,52.6,0.9,2.3,40.0,5.5,6.5,85.9,0.5,3.5,4.0,4.2,1.7,0.5,1.9,24.2,79,37.8,24.0,8.2,17.2,48.0,0.9,2.8,33.3,6.6,7.7,85.3,0.5,3.8,4.3,5.3,1.1,0.6,1.7,23.6,74,36.2,24.5,8.9,17.6,50.4,0.6,1.9,32.4,6.2,7.1,87.2,0.5,4.2,4.6,5.1,1.1,0.5,2.1,24.2
11,25.5,9.0,2.9,8.4,34.8,0.5,3.2,17.1,2.6,3.5,76.3,1.4,4.3,5.6,3.0,1.0,0.8,2.0,11.2,75,30.1,14.7,5.4,10.7,50.6,1.2,3.1,37.4,2.7,3.6,74.0,1.1,6.1,7.2,3.8,0.8,0.5,2.1,18.6,76,26.6,9.2,3.3,7.6,43.7,0.9,3.1,29.7,1.6,2.2,73.9,1.0,5.4,6.4,2.8,0.9,0.4,1.6,13.1
