GP_2-3,MIN_2-3,PTS_2-3,FGM_2-3,FGA_2-3,FG%_2-3,3PM_2-3,3PA_2-3,3P%_2-3,FTM_2-3,FTA_2-3,FT%_2-3,OREB_2-3,DREB_2-3,REB_2-3,AST_2-3,STL_2-3,BLK_2-3,TOV_2-3,EFF_2-3,GP_1-2,MIN_1-2,PTS_1-2,FGM_1-2,FGA_1-2,FG%_1-2,3PM_1-2,3PA_1-2,3P%_1-2,FTM_1-2,FTA_1-2,FT%_1-2,OREB_1-2,DREB_1-2,REB_1-2,AST_1-2,STL_1-2,BLK_1-2,TOV_1-2,EFF_1-2,GP_0-1,MIN_0-1,PTS_0-1,FGM_0-1,FGA_0-1,FG%_0-1,3PM_0-1,3PA_0-1,3P%_0-1,FTM_0-1,FTA_0-1,FT%_0-1,OREB_0-1,DREB_0-1,REB_0-1,AST_0-1,STL_0-1,BLK_0-1,TOV_0-1,EFF_0-1
11,17.7,3.6,1.3,3.4,37.8,0.7,2.4,30.8,0.4,0.5,66.7,0.7,2.2,2.9,1.9,0.5,0.8,0.5,7.0,60,25.5,5.3,1.9,4.3,45.3,1.2,3.1,39.5,0.3,0.4,71.4,1.2,3.0,4.1,2.1,0.8,0.6,0.7,9.9,78,21.9,6.1,2.1,4.9,42.0,1.6,4.1,39.1,0.4,0.6,70.8,0.8,3.0,3.8,1.6,0.7,0.6,0.6,9.1
10,38.1,29.7,10.8,19.2,56.3,2.2,3.9,56.4,5.9,7.0,84.3,4.5,9.2,13.7,11.7,1.7,1.0,4.1,44.2,79,34.6,26.4,10.4,17.9,58.3,1.1,2.9,35.9,4.5,5.5,81.7,2.8,9.5,12.4,9.0,1.4,0.9,3.0,38.5,69,33.7,24.5,9.4,14.8,63.2,0.8,2.2,38.3,4.9,6.0,82.2,2.4,9.4,11.8,9.8,1.3,0.7,3.6,38.0
11,32.2,20.8,8.4,14.3,58.6,2.0,4.3,46.8,2.1,2.5,85.2,2.5,7.5,10.1,3.2,0.6,0.8,1.7,27.5,76,34.3,18.0,7.7,15.9,48.4,1.2,4.1,29.4,1.4,1.7,82.2,2.8,7.8,10.5,3.3,0.7,0.8,1.6,23.3,82,33.5,17.6,7.3,14.0,52.0,1.5,4.2,34.9,1.6,1.9,83.5,1.9,9.1,11.0,3.2,0.7,0.7,1.7,24.6
11,34.4,26.0,8.9,16.9,52.7,4.2,8.3,50.5,4.0,4.8,83.0,0.4,2.9,3.3,2.5,1.3,0.3,2.2,22.4,76,26.2,13.9,4.9,10.1,48.6,2.2,5.1,43.5,1.9,2.3,83.1,0.2,2.4,2.6,1.1,0.6,0.3,0.9,11.9,60,26.1,17.0,5.7,11.8,47.9,1.9,4.8,39.7,3.8,4.6,81.2,0.4,2.5,2.9,1.8,0.8,0.3,1.7,14.1
9,20.8,9.0,3.4,6.4,53.4,0.9,2.7,33.3,1.2,1.4,84.6,1.0,2.1,3.1,1.6,0.6,0.2,0.9,10.3,82,21.1,10.3,4.0,7.1,57.3,1.2,3.1,40.3,0.9,1.2,77.0,1.0,2.9,3.9,1.6,0.6,0.5,0.8,12.7,67,15.7,7.4,2.8,6.3,44.6,1.3,3.7,34.4,0.6,0.7,80.9,0.4,2.4,2.8,1.0,0.3,0.2,0.6,7.6
11,31.3,14.0,5.5,9.3,58.8,1.9,4.0,47.7,1.2,1.6,72.2,1.3,3.5,4.8,2.0,1.3,0.5,0.9,17.5,78,21.1,5.8,2.3,5.6,41.1,0.8,2.7,29.4,0.5,0.7,66.1,0.9,1.8,2.8,1.1,0.6,0.6,0.8,6.5,59,20.5,7.9,2.8,6.5,42.7,1.4,3.9,35.5,0.9,1.2,81.2,0.7,1.3,2.1,1.1,0.3,0.3,0.7,7.0
7,32.6,9.4,4.0,9.4,42.4,1.0,4.4,22.6,0.4,1.1,37.5,1.7,6.0,7.7,1.4,1.6,1.3,1.1,14.1,73,30.4,12.9,4.8,11.1,43.6,1.8,5.7,32.0,1.4,2.0,68.3,1.2,4.5,5.6,1.9,1.0,0.8,1.3,14.0,73,32.6,15.7,5.9,13.4,44.4,2.0,5.9,34.8,1.7,2.4,73.0,1.0,3.9,4.9,2.4,0.9,1.1,1.5,15.4
10,33.5,20.0,8.0,14.7,54.4,2.1,4.7,44.7,1.9,2.7,70.4,1.8,4.7,6.5,4.5,0.8,0.2,1.2,23.3,80,33.2,21.7,8.5,15.9,53.6,1.1,3.1,34.6,3.6,5.0,73.2,1.7,5.3,7.1,4.3,0.8,0.3,1.8,23.7,71,37.4,24.2,8.9,18.5,48.0,1.3,4.0,32.4,5.2,6.7,77.4,1.8,6.0,7.8,5.8,0.9,0.5,2.4,25.8
10,16.4,4.2,1.4,4.0,35.0,0.7,2.6,26.9,0.7,0.8,87.5,0.4,1.9,2.3,1.8,0.2,0.1,0.6,5.3,76,22.1,5.6,2.0,4.6,43.5,1.1,3.1,34.5,0.6,0.8,75.9,0.7,2.5,3.1,2.1,0.5,0.3,0.6,8.3,61,23.7,7.6,2.7,6.9,39.2,1.8,5.3,33.9,0.4,0.7,65.9,0.8,3.8,4.6,1.3,0.6,0.2,0.5,9.4
8,33.3,23.1,8.5,19.6,43.3,2.1,6.5,32.7,4.0,5.8,69.6,0.8,4.9,5.6,6.1,1.0,0.1,3.4,19.8,58,31.7,20.2,7.5,15.2,49.5,1.6,4.3,36.0,3.6,5.0,71.5,0.9,4.5,5.4,3.3,0.5,0.4,2.2,18.6,73,33.9,19.6,7.0,16.1,43.4,1.7,5.3,31.0,4.0,5.4,74.0,0.8,4.2,5.0,2.8,0.4,0.2,2.2,15.3
10,25.9,10.2,3.6,7.6,47.4,2.2,4.5,48.9,0.8,0.9,88.9,1.6,5.1,6.7,2.3,0.7,0.9,0.9,15.8,79,24.7,7.7,2.7,6.8,39.7,2.0,5.3,37.0,0.3,0.4,68.6,0.8,4.0,4.8,2.8,0.7,0.6,0.9,11.4,76,31.7,8.8,3.0,7.8,38.6,2.1,5.5,38.9,0.7,0.9,72.5,0.7,4.3,5.1,3.7,0.9,0.6,1.5,12.6
10,31.6,10.9,4.3,6.6,65.2,0.0,0.0,0.0,2.3,2.9,79.3,3.0,7.7,10.7,1.9,0.5,1.4,1.6,20.9,76,34.1,14.0,5.3,8.1,66.1,0.0,0.0,0.0,3.3,5.1,63.8,3.8,9.2,12.9,1.3,0.7,2.1,1.6,24.9,70,30.7,13.4,5.1,7.8,65.9,0.0,0.0,0.0,3.1,4.9,64.4,3.3,8.3,11.6,1.2,0.8,1.4,1.7,22.3
9,33.8,12.0,4.3,11.1,39.0,1.7,3.6,46.9,1.7,2.0,83.3,2.1,3.9,6.0,1.3,0.7,0.4,0.7,12.7,68,26.8,13.6,5.3,9.9,53.7,1.4,3.4,42.2,1.5,2.0,73.9,0.9,3.5,4.3,1.2,0.6,0.4,0.7,14.3,63,23.3,11.2,4.5,9.3,48.6,0.8,2.5,31.9,1.4,1.9,73.9,0.8,3.7,4.5,0.9,0.3,0.4,0.8,11.3
10,24.6,11.1,3.4,9.6,35.4,1.0,3.3,30.3,3.3,4.7,70.2,1.0,3.1,4.1,5.4,1.5,0.6,2.5,12.6,68,22.5,11.1,4.4,9.8,45.4,0.6,2.3,27.3,1.6,2.4,68.8,1.4,3.7,5.0,4.5,1.1,0.3,2.1,13.9,73,29.1,15.9,5.9,13.6,43.6,1.2,3.9,31.1,2.8,4.3,65.6,1.2,4.6,5.8,7.5,1.0,0.5,3.5,18.1
9,20.3,6.9,2.6,6.9,37.1,1.8,5.7,31.4,0.0,0.0,0.0,0.9,2.8,3.7,1.2,0.7,0.2,0.4,7.9,79,22.0,9.0,3.2,7.1,44.6,2.5,5.9,42.4,0.2,0.2,89.5,0.6,2.9,3.5,1.0,0.5,0.3,0.4,10.0,80,16.1,6.4,2.3,5.0,45.5,1.8,4.2,41.8,0.2,0.2,70.6,0.4,2.1,2.6,0.9,0.4,0.3,0.4,7.3
11,30.1,12.8,5.2,10.9,47.5,1.3,4.8,26.4,1.2,1.2,100,1.5,6.2,7.6,3.7,0.7,0.5,1.5,18.1,61,26.5,10.7,4.0,9.3,43.5,1.7,5.0,34.9,0.9,1.4,62.1,1.2,4.6,5.8,2.3,0.7,0.9,1.1,13.4,77,21.8,9.0,3.2,6.8,47.0,1.2,3.5,35.3,1.4,1.9,75.0,1.1,3.7,4.8,1.3,0.6,0.6,0.8,11.5
11,33.2,27.8,9.5,19.1,50.0,1.6,5.5,29.5,7.1,7.9,89.7,0.8,4.7,5.5,6.5,1.7,1.1,2.8,29.5,75,34.0,30.1,10.6,19.8,53.5,1.3,3.6,35.3,7.6,8.7,87.4,0.9,4.7,5.5,6.2,2.0,0.9,2.2,32.2,68,35.5,31.4,10.4,20.3,51.0,0.9,2.5,34.5,9.8,10.9,90.5,0.9,4.0,4.8,5.5,1.6,1.0,2.8,30.5
9,18.4,4.8,1.6,4.4,35.0,0.9,3.0,29.6,0.8,1.1,70.0,0.1,1.0,1.1,2.1,0.2,0.2,0.6,4.7,76,28.3,10.5,3.3,8.4,39.2,1.6,4.8,33.7,2.2,2.8,80.5,0.4,2.3,2.7,4.7,0.7,0.3,1.2,11.9,79,34.5,17.3,5.8,13.3,43.8,2.3,6.2,36.9,3.4,4.2,81.2,0.4,3.1,3.4,6.5,0.8,0.3,1.8,18.3
9,17.2,9.3,4.6,7.6,60.3,0.1,0.4,25.0,0.1,0.2,50.0,0.3,1.6,1.9,4.0,0.9,0.1,1.7,11.4,71,18.2,10.2,4.6,8.4,55.6,0.3,0.6,40.9,0.7,0.9,79.0,0.5,2.2,2.7,5.5,1.0,0.1,1.5,14.1,75,20.3,8.7,3.8,6.9,54.3,0.3,0.8,44.1,0.8,0.9,85.3,0.6,2.5,3.1,5.3,1.1,0.1,1.9,13.1
11,22.7,5.0,1.9,5.1,37.5,0.4,1.8,20.0,0.8,1.2,69.2,1.5,2.3,3.7,1.6,0.5,0.1,0.5,6.8,75,25.0,8.8,3.4,6.6,51.5,0.9,2.7,34.8,1.1,1.3,83.2,1.2,2.2,3.4,1.6,0.6,0.2,0.6,10.5,81,23.1,8.8,3.4,6.5,51.9,1.0,2.4,38.9,1.1,1.5,78.0,1.0,2.5,3.4,2.3,0.5,0.3,1.0,10.9
9,32.3,14.3,4.8,11.9,40.2,2.6,6.4,39.7,2.2,2.4,90.9,0.4,4.2,4.7,4.0,0.9,0.3,1.9,15.0,61,33.4,19.8,7.2,16.4,44.3,2.4,6.7,36.3,2.8,3.2,86.9,0.6,3.5,4.0,5.6,1.0,0.3,1.7,19.5,63,35.3,21.1,7.8,18.9,41.5,2.6,8.0,32.7,2.8,3.5,80.9,0.8,3.3,4.1,5.1,1.2,0.3,2.1,17.9
11,29.3,12.6,4.0,8.6,46.3,2.8,6.0,47.0,1.8,2.1,87.0,0.1,1.6,1.7,2.1,0.5,0.0,0.7,11.3,79,26.8,14.4,5.0,12.4,40.2,2.7,7.6,35.3,1.8,2.1,85.2,0.3,2.9,3.2,1.8,0.5,0.1,0.9,11.4,71,30.3,14.4,4.8,11.9,40.1,3.0,7.7,38.5,1.8,2.3,77.0,0.3,3.2,3.5,1.8,0.7,0.2,0.8,12.0
11,32.8,13.5,5.5,11.6,46.9,1.1,4.2,26.1,1.5,2.0,77.3,0.9,6.6,7.5,2.4,0.8,1.4,1.5,17.5,70,33.8,17.2,6.6,13.6,48.7,1.3,3.7,35.3,2.7,3.0,87.8,1.1,5.3,6.5,3.1,1.0,0.7,1.3,19.8,74,32.9,14.7,5.7,11.4,50.1,1.7,4.4,38.9,1.5,1.7,87.6,0.9,4.8,5.7,2.5,0.9,0.5,1.2,17.2
11,15.9,4.0,1.3,4.5,28.0,0.8,3.4,24.3,0.6,0.7,87.5,0.6,2.5,3.2,0.5,0.5,0.7,0.5,5.2,58,20.0,7.2,2.5,5.5,44.5,1.4,3.8,38.4,0.8,1.2,70.0,1.1,3.4,4.4,1.2,0.3,0.3,0.7,9.4,74,16.9,7.6,2.5,5.5,45.8,1.2,3.2,36.3,1.4,1.7,81.5,0.9,3.1,4.1,0.9,0.4,0.4,0.9,9.2
7,39.7,27.6,9.6,23.6,40.6,3.1,11.0,28.6,5.3,6.4,82.2,0.0,3.0,3.0,3.9,1.4,0.6,2.0,19.3,70,37.5,25.9,9.1,20.3,45.0,3.0,8.1,37.3,4.7,5.4,86.8,0.5,3.2,3.7,6.2,1.0,0.5,1.7,23.7,60,33.6,20.3,7.3,15.2,48.1,2.7,6.2,43.4,3.0,3.6,84.5,0.4,2.6,2.9,3.5,0.8,0.1,1.3,17.9
10,32.4,11.0,4.3,9.0,47.8,2.0,4.7,42.6,0.4,0.4,100,0.6,2.4,3.0,6.3,1.1,0.2,1.1,15.8,66,29.3,12.0,4.9,10.1,48.9,1.6,3.9,41.4,0.5,0.6,80.0,0.3,2.4,2.7,7.3,1.1,0.3,1.0,17.1,80,24.2,10.3,3.9,8.9,43.8,1.5,4.1,37.1,1.0,1.3,80.0,0.4,2.2,2.5,5.2,1.0,0.1,0.9,13.0
9,26.4,9.2,3.9,5.7,68.6,0.0,0.0,0.0,1.4,2.6,56.5,3.8,6.9,10.7,1.0,0.4,2.8,1.7,19.6,64,23.3,8.1,3.6,5.5,65.4,0.1,0.3,21.1,0.9,1.5,60.2,2.6,4.9,7.5,0.9,0.5,2.4,1.0,15.9,74,23.0,9.2,4.0,5.6,72.0,0.0,0.0,33.3,1.1,2.1,51.6,3.1,5.3,8.4,0.9,0.4,2.3,0.8,17.8
11,13.9,5.6,1.8,4.0,45.5,0.8,1.6,50.0,1.2,1.3,92.9,1.1,1.9,3.0,1.9,0.6,0.3,0.9,8.3,69,22.1,11.2,4.3,8.9,48.4,0.8,2.6,32.0,1.8,2.3,75.3,1.7,3.7,5.4,2.8,0.5,0.8,1.9,13.6,63,22.9,11.6,4.5,8.7,51.8,0.9,2.3,37.4,1.7,2.3,76.1,1.8,4.5,6.4,2.9,0.6,0.8,2.0,15.4
